RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597139289530	 	3.0.3
USER	AggRestSimulation	88	START	1597139292995	1597139292995
REQUEST	70		requestAggregation	1597139292677	1597139292996	OK	 
REQUEST	86		login	1597139292955	1597139292999	OK	 
REQUEST	77		requestAggregation	1597139292820	1597139293007	OK	 
USER	AggRestSimulation	89	START	1597139293010	1597139293010
REQUEST	87		login	1597139292975	1597139293021	OK	 
USER	AggRestSimulation	90	START	1597139293031	1597139293031
REQUEST	68		requestAggregation	1597139292646	1597139293031	OK	 
REQUEST	88		login	1597139292996	1597139293041	OK	 
USER	AggRestSimulation	91	START	1597139293051	1597139293051
REQUEST	79		requestAggregation	1597139292863	1597139293055	OK	 
REQUEST	89		login	1597139293011	1597139293057	OK	 
USER	AggRestSimulation	92	START	1597139293072	1597139293072
REQUEST	90		login	1597139293032	1597139293074	OK	 
USER	AggRestSimulation	93	START	1597139293093	1597139293093
REQUEST	75		requestAggregation	1597139292782	1597139293096	OK	 
REQUEST	91		login	1597139293054	1597139293097	OK	 
REQUEST	92		login	1597139293073	1597139293111	OK	 
USER	AggRestSimulation	94	START	1597139293113	1597139293113
USER	AggRestSimulation	95	START	1597139293134	1597139293134
REQUEST	93		login	1597139293093	1597139293136	OK	 
REQUEST	76		requestAggregation	1597139292798	1597139293136	OK	 
USER	AggRestSimulation	96	START	1597139293154	1597139293154
REQUEST	94		login	1597139293114	1597139293155	OK	 
REQUEST	84		requestAggregation	1597139292959	1597139293171	OK	 
REQUEST	83		requestAggregation	1597139292940	1597139293171	OK	 
REQUEST	81		requestAggregation	1597139292894	1597139293173	OK	 
USER	AggRestSimulation	97	START	1597139293175	1597139293175
REQUEST	95		login	1597139293136	1597139293178	OK	 
REQUEST	80		requestAggregation	1597139292883	1597139293183	OK	 
USER	AggRestSimulation	98	START	1597139293190	1597139293190
REQUEST	96		login	1597139293155	1597139293201	OK	 
USER	AggRestSimulation	99	START	1597139293210	1597139293210
REQUEST	87		requestAggregation	1597139293022	1597139293211	OK	 
REQUEST	97		login	1597139293175	1597139293216	OK	 
REQUEST	85		requestAggregation	1597139292983	1597139293218	OK	 
REQUEST	98		login	1597139293191	1597139293229	OK	 
USER	AggRestSimulation	100	START	1597139293231	1597139293231
REQUEST	73		requestAggregation	1597139292737	1597139293238	OK	 
REQUEST	99		login	1597139293211	1597139293250	OK	 
USER	AggRestSimulation	101	START	1597139293251	1597139293251
USER	AggRestSimulation	102	START	1597139293251	1597139293251
REQUEST	100		login	1597139293232	1597139293271	OK	 
USER	AggRestSimulation	103	START	1597139293272	1597139293272
USER	AggRestSimulation	104	START	1597139293293	1597139293293
REQUEST	101		login	1597139293253	1597139293293	OK	 
REQUEST	78		requestAggregation	1597139292840	1597139293293	OK	 
REQUEST	89		requestAggregation	1597139293058	1597139293293	OK	 
REQUEST	102		login	1597139293254	1597139293300	OK	 
REQUEST	91		requestAggregation	1597139293097	1597139293305	OK	 
REQUEST	86		requestAggregation	1597139293000	1597139293305	OK	 
USER	AggRestSimulation	105	START	1597139293313	1597139293313
REQUEST	103		login	1597139293272	1597139293309	OK	 
