RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597138791708	 	3.0.3
REQUEST	51		requestAggregation	1597138794318	1597138795137	OK	 
REQUEST	63		requestAggregation	1597138794555	1597138795139	OK	 
USER	AggRestSimulation	95	START	1597138795143	1597138795143
REQUEST	81		requestAggregation	1597138794909	1597138795141	OK	 
REQUEST	92		login	1597138795087	1597138795147	OK	 
REQUEST	93		login	1597138795108	1597138795147	OK	 
REQUEST	78		requestAggregation	1597138794849	1597138795150	OK	 
REQUEST	56		requestAggregation	1597138794420	1597138795150	OK	 
USER	AggRestSimulation	96	START	1597138795163	1597138795163
REQUEST	67		requestAggregation	1597138794628	1597138795158	OK	 
REQUEST	60		requestAggregation	1597138794514	1597138795164	OK	 
REQUEST	94		login	1597138795129	1597138795170	OK	 
REQUEST	84		requestAggregation	1597138794970	1597138795174	OK	 
USER	AggRestSimulation	97	START	1597138795183	1597138795183
REQUEST	77		requestAggregation	1597138794830	1597138795181	OK	 
REQUEST	95		login	1597138795145	1597138795185	OK	 
USER	AggRestSimulation	98	START	1597138795204	1597138795204
REQUEST	96		login	1597138795165	1597138795204	OK	 
REQUEST	72		requestAggregation	1597138794732	1597138795200	OK	 
REQUEST	86		requestAggregation	1597138795013	1597138795209	OK	 
REQUEST	75		requestAggregation	1597138794794	1597138795219	OK	 
USER	AggRestSimulation	99	START	1597138795225	1597138795225
REQUEST	97		login	1597138795184	1597138795222	OK	 
REQUEST	65		requestAggregation	1597138794596	1597138795229	OK	 
USER	AggRestSimulation	100	START	1597138795245	1597138795245
REQUEST	83		requestAggregation	1597138794949	1597138795245	OK	 
REQUEST	98		login	1597138795205	1597138795245	OK	 
USER	AggRestSimulation	101	START	1597138795266	1597138795266
USER	AggRestSimulation	102	START	1597138795266	1597138795266
REQUEST	99		login	1597138795226	1597138795266	OK	 
REQUEST	80		requestAggregation	1597138794890	1597138795279	OK	 
REQUEST	100		login	1597138795246	1597138795285	OK	 
USER	AggRestSimulation	103	START	1597138795286	1597138795286
REQUEST	102		login	1597138795267	1597138795303	OK	 
REQUEST	101		login	1597138795267	1597138795305	OK	 
USER	AggRestSimulation	104	START	1597138795306	1597138795306
REQUEST	70		requestAggregation	1597138794689	1597138795315	OK	 
REQUEST	103		login	1597138795287	1597138795326	OK	 
USER	AggRestSimulation	105	START	1597138795327	1597138795327
REQUEST	104		login	1597138795307	1597138795346	OK	 
REQUEST	82		requestAggregation	1597138794930	1597138795346	OK	 
USER	AggRestSimulation	106	START	1597138795348	1597138795348
USER	AggRestSimulation	107	START	1597138795363	1597138795363
REQUEST	105		login	1597138795328	1597138795365	OK	 
REQUEST	89		requestAggregation	1597138795067	1597138795371	OK	 
USER	AggRestSimulation	108	START	1597138795383	1597138795383
REQUEST	106		login	1597138795349	1597138795387	OK	 
REQUEST	87		requestAggregation	1597138795026	1597138795387	OK	 
REQUEST	88		requestAggregation	1597138795047	1597138795392	OK	 
REQUEST	107		login	1597138795364	1597138795402	OK	 
USER	AggRestSimulation	109	START	1597138795404	1597138795404
REQUEST	85		requestAggregation	1597138794990	1597138795404	OK	 
REQUEST	91		requestAggregation	1597138795108	1597138795404	OK	 
REQUEST	108		login	1597138795384	1597138795424	OK	 
USER	AggRestSimulation	110	START	1597138795424	1597138795424
USER	AggRestSimulation	111	START	1597138795445	1597138795445
REQUEST	109		login	1597138795405	1597138795446	OK	 
REQUEST	90		requestAggregation	1597138795089	1597138795446	OK	 
REQUEST	110		login	1597138795425	1597138795458	OK	 
USER	AggRestSimulation	112	START	1597138795466	1597138795466
REQUEST	92		requestAggregation	1597138795151	1597138795477	OK	 
REQUEST	93		requestAggregation	1597138795151	1597138795481	OK	 
USER	AggRestSimulation	113	START	1597138795487	1597138795487
REQUEST	111		login	1597138795448	1597138795490	OK	 
REQUEST	94		requestAggregation	1597138795178	1597138795499	OK	 
REQUEST	112		login	1597138795467	1597138795503	OK	 
USER	AggRestSimulation	114	START	1597138795508	1597138795508
USER	AggRestSimulation	115	START	1597138795523	1597138795523
REQUEST	113		login	1597138795488	1597138795527	OK	 
USER	AggRestSimulation	116	START	1597138795543	1597138795543
REQUEST	114		login	1597138795509	1597138795546	OK	 
REQUEST	115		login	1597138795524	1597138795559	OK	 
USER	AggRestSimulation	117	START	1597138795564	1597138795564
REQUEST	116		login	1597138795545	1597138795580	OK	 
USER	AggRestSimulation	118	START	1597138795584	1597138795584
REQUEST	95		requestAggregation	1597138795194	1597138795599	OK	 
USER	AggRestSimulation	119	START	1597138795605	1597138795605
REQUEST	117		login	1597138795565	1597138795607	OK	 
REQUEST	118		login	1597138795585	1597138795617	OK	 
USER	AggRestSimulation	120	START	1597138795625	1597138795625
REQUEST	119		login	1597138795606	1597138795639	OK	 
USER	AggRestSimulation	121	START	1597138795646	1597138795646
REQUEST	96		requestAggregation	1597138795210	1597138795657	OK	 
REQUEST	120		login	1597138795627	1597138795662	OK	 
USER	AggRestSimulation	122	START	1597138795667	1597138795667
REQUEST	121		login	1597138795647	1597138795683	OK	 
USER	AggRestSimulation	123	START	1597138795687	1597138795687
REQUEST	122		login	1597138795667	1597138795706	OK	 
USER	AggRestSimulation	124	START	1597138795708	1597138795708
REQUEST	123		login	1597138795688	1597138795719	OK	 
USER	AggRestSimulation	125	START	1597138795723	1597138795723
REQUEST	97		requestAggregation	1597138795228	1597138795725	OK	 
REQUEST	99		requestAggregation	1597138795267	1597138795741	OK	 
USER	AggRestSimulation	126	START	1597138795744	1597138795744
REQUEST	124		login	1597138795708	1597138795745	OK	 
REQUEST	100		requestAggregation	1597138795286	1597138795745	OK	 
REQUEST	102		requestAggregation	1597138795304	1597138795748	OK	 
USER	AggRestSimulation	127	START	1597138795763	1597138795763
REQUEST	98		requestAggregation	1597138795247	1597138795753	OK	 
REQUEST	125		login	1597138795723	1597138795757	OK	 
USER	AggRestSimulation	128	START	1597138795784	1597138795784
REQUEST	101		requestAggregation	1597138795306	1597138795761	OK	 
REQUEST	104		requestAggregation	1597138795348	1597138795761	OK	 
USER	AggRestSimulation	129	START	1597138795804	1597138795804
REQUEST	103		requestAggregation	1597138795328	1597138795776	OK	 
REQUEST	106		requestAggregation	1597138795388	1597138795780	OK	 
REQUEST	126		login	1597138795747	1597138795787	OK	 
REQUEST	105		requestAggregation	1597138795367	1597138795782	OK	 
REQUEST	127		login	1597138795764	1597138795800	OK	 
USER	AggRestSimulation	130	START	1597138795825	1597138795825
REQUEST	128		login	1597138795785	1597138795823	OK	 
REQUEST	107		requestAggregation	1597138795403	1597138795819	OK	 
USER	AggRestSimulation	131	START	1597138795845	1597138795845
REQUEST	129		login	1597138795805	1597138795842	OK	 
REQUEST	109		requestAggregation	1597138795448	1597138795832	OK	 
REQUEST	108		requestAggregation	1597138795425	1597138795842	OK	 
REQUEST	114		requestAggregation	1597138795548	1597138795858	OK	 
USER	AggRestSimulation	132	START	1597138795866	1597138795866
REQUEST	111		requestAggregation	1597138795491	1597138795858	OK	 
REQUEST	116		requestAggregation	1597138795581	1597138795862	OK	 
REQUEST	110		requestAggregation	1597138795459	1597138795863	OK	 
REQUEST	130		login	1597138795825	1597138795868	OK	 
USER	AggRestSimulation	133	START	1597138795887	1597138795887
REQUEST	119		requestAggregation	1597138795640	1597138795878	OK	 
REQUEST	131		login	1597138795847	1597138795889	OK	 
USER	AggRestSimulation	134	START	1597138795907	1597138795907
REQUEST	132		login	1597138795867	1597138795915	OK	 
USER	AggRestSimulation	135	START	1597138795923	1597138795923
REQUEST	121		requestAggregation	1597138795684	1597138795926	OK	 
REQUEST	133		login	1597138795888	1597138795929	OK	 
USER	AggRestSimulation	136	START	1597138795943	1597138795943
REQUEST	134		login	1597138795908	1597138795946	OK	 
USER	AggRestSimulation	137	START	1597138795963	1597138795963
REQUEST	135		login	1597138795923	1597138795963	OK	 
REQUEST	124		requestAggregation	1597138795747	1597138795967	OK	 
REQUEST	112		requestAggregation	1597138795504	1597138795979	OK	 
USER	AggRestSimulation	138	START	1597138795983	1597138795983
REQUEST	136		login	1597138795945	1597138795984	OK	 
REQUEST	127		requestAggregation	1597138795811	1597138795999	OK	 
USER	AggRestSimulation	139	START	1597138796004	1597138796004
REQUEST	137		login	1597138795966	1597138796005	OK	 
REQUEST	138		login	1597138795984	1597138796024	OK	 
USER	AggRestSimulation	140	START	1597138796025	1597138796025
REQUEST	139		login	1597138796005	1597138796042	OK	 
USER	AggRestSimulation	141	START	1597138796045	1597138796045
REQUEST	113		requestAggregation	1597138795534	1597138796057	OK	 
REQUEST	140		login	1597138796025	1597138796061	OK	 
USER	AggRestSimulation	142	START	1597138796066	1597138796066
REQUEST	115		requestAggregation	1597138795561	1597138796078	OK	 
REQUEST	141		login	1597138796047	1597138796085	OK	 
USER	AggRestSimulation	143	START	1597138796087	1597138796087
REQUEST	117		requestAggregation	1597138795608	1597138796093	OK	 
REQUEST	142		login	1597138796067	1597138796105	OK	 
USER	AggRestSimulation	144	START	1597138796107	1597138796107
REQUEST	129		requestAggregation	1597138795847	1597138796115	OK	 
REQUEST	123		requestAggregation	1597138795720	1597138796123	OK	 
USER	AggRestSimulation	145	START	1597138796128	1597138796128
REQUEST	120		requestAggregation	1597138795663	1597138796123	OK	 
REQUEST	143		login	1597138796087	1597138796125	OK	 
REQUEST	118		requestAggregation	1597138795618	1597138796133	OK	 
USER	AggRestSimulation	146	START	1597138796143	1597138796143
REQUEST	144		login	1597138796108	1597138796148	OK	 
REQUEST	122		requestAggregation	1597138795707	1597138796148	OK	 
REQUEST	125		requestAggregation	1597138795784	1597138796151	OK	 
USER	AggRestSimulation	147	START	1597138796163	1597138796163
REQUEST	145		login	1597138796129	1597138796168	OK	 
USER	AggRestSimulation	148	START	1597138796184	1597138796184
REQUEST	146		login	1597138796145	1597138796189	OK	 
REQUEST	128		requestAggregation	1597138795830	1597138796200	OK	 
REQUEST	131		requestAggregation	1597138795896	1597138796202	OK	 
USER	AggRestSimulation	149	START	1597138796205	1597138796205
REQUEST	126		requestAggregation	1597138795811	1597138796205	OK	 
REQUEST	147		login	1597138796165	1597138796207	OK	 
REQUEST	148		login	1597138796185	1597138796223	OK	 
USER	AggRestSimulation	150	START	1597138796226	1597138796226
REQUEST	149		login	1597138796206	1597138796244	OK	 
USER	AggRestSimulation	151	START	1597138796246	1597138796246
REQUEST	150		login	1597138796226	1597138796265	OK	 
USER	AggRestSimulation	152	START	1597138796267	1597138796267
REQUEST	151		login	1597138796247	1597138796285	OK	 
REQUEST	130		requestAggregation	1597138795882	1597138796285	OK	 
USER	AggRestSimulation	153	START	1597138796287	1597138796287
REQUEST	152		login	1597138796268	1597138796303	OK	 
USER	AggRestSimulation	154	START	1597138796308	1597138796308
USER	AggRestSimulation	155	START	1597138796323	1597138796323
REQUEST	153		login	1597138796288	1597138796328	OK	 
