RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598540231290	 	3.3.1
REQUEST	145		requestAggregation_some_products	1598540235679	1598540236058	OK	 
REQUEST	148		requestAggregation_some_products	1598540235739	1598540236073	OK	 
REQUEST	150		requestAggregation_some_products	1598540235781	1598540236074	OK	 
USER	AggRestSimulationSomeProducts	165	START	1598540236077	1598540236077
REQUEST	152		requestAggregation_some_products	1598540235822	1598540236093	OK	 
USER	AggRestSimulationSomeProducts	166	START	1598540236097	1598540236097
USER	AggRestSimulationSomeProducts	167	START	1598540236118	1598540236118
REQUEST	151		requestAggregation_some_products	1598540235802	1598540236131	OK	 
USER	AggRestSimulationSomeProducts	168	START	1598540236138	1598540236138
REQUEST	149		requestAggregation_some_products	1598540235761	1598540236143	OK	 
USER	AggRestSimulationSomeProducts	169	START	1598540236159	1598540236159
REQUEST	154		requestAggregation_some_products	1598540235858	1598540236172	OK	 
REQUEST	156		requestAggregation_some_products	1598540235898	1598540236171	OK	 
USER	AggRestSimulationSomeProducts	170	START	1598540236179	1598540236179
REQUEST	160		requestAggregation_some_products	1598540235982	1598540236189	OK	 
REQUEST	158		requestAggregation_some_products	1598540235939	1598540236191	OK	 
USER	AggRestSimulationSomeProducts	171	START	1598540236200	1598540236200
REQUEST	153		requestAggregation_some_products	1598540235843	1598540236205	OK	 
REQUEST	162		requestAggregation_some_products	1598540236022	1598540236208	OK	 
USER	AggRestSimulationSomeProducts	172	START	1598540236220	1598540236220
REQUEST	164		requestAggregation_some_products	1598540236057	1598540236233	OK	 
USER	AggRestSimulationSomeProducts	173	START	1598540236241	1598540236241
USER	AggRestSimulationSomeProducts	174	START	1598540236261	1598540236261
REQUEST	166		requestAggregation_some_products	1598540236098	1598540236276	OK	 
USER	AggRestSimulationSomeProducts	175	START	1598540236281	1598540236281
REQUEST	157		requestAggregation_some_products	1598540235919	1598540236298	OK	 
REQUEST	155		requestAggregation_some_products	1598540235878	1598540236298	OK	 
USER	AggRestSimulationSomeProducts	176	START	1598540236302	1598540236302
REQUEST	168		requestAggregation_some_products	1598540236140	1598540236306	OK	 
USER	AggRestSimulationSomeProducts	177	START	1598540236317	1598540236317
USER	AggRestSimulationSomeProducts	178	START	1598540236337	1598540236337
REQUEST	170		requestAggregation_some_products	1598540236181	1598540236353	OK	 
USER	AggRestSimulationSomeProducts	179	START	1598540236357	1598540236357
USER	AggRestSimulationSomeProducts	180	START	1598540236378	1598540236378
REQUEST	159		requestAggregation_some_products	1598540235961	1598540236388	OK	 
USER	AggRestSimulationSomeProducts	181	START	1598540236399	1598540236399
REQUEST	163		requestAggregation_some_products	1598540236042	1598540236403	OK	 
REQUEST	161		requestAggregation_some_products	1598540236002	1598540236403	OK	 
USER	AggRestSimulationSomeProducts	182	START	1598540236419	1598540236419
USER	AggRestSimulationSomeProducts	183	START	1598540236439	1598540236439
